,bot,human
677,Task Finished!,
678,,
679,A198MSVO1VTAT5,
680,hi! what are your favorite types of movies?,comedy
681,like a boss,accept
682,"TASK COMPLETE, Thanks for chatting with me!",
683,,
684,AIQM86IRETAJN,
685,"hello, my name is morgan. can i help you?","Hi Morgan, could you recommend me a good movie in the sci-fi Genre?"
686,that depends. what have you liked about bloodshot,I have never watched Bloodshot
687,sci-fi is a very broad category. what types of movies do you like,"Im a big fan of space movies in particular, such as Interstellar or Gravity, thats my favorite type of sci-fi movies"
688,a good recent movie with space in it is interstellar . star wars: the rise of skywalker,"I am not a fan of the Star Wars franchise though, it is a bit too juveline for me"
689,I would recommend Bloodshot.,What is Bloodshot about?
690,"its about a hitman who is being used to take down a corrupt pharmaceutical company,","Doesnt sound like the type of movie Id like, can you recommend me something else?"
691,Have you seen The New Mutants?,"No, what is The New Mutants about?"
692,well first off it is a sequel. the first one is about how a hitman gets used to kill a corrupt pharmaceutical company.,"Please recommend me something that doesnt involve hitman or mafia, this type of movie is too corny for me"
693,there is a trailer for how to train your dragon 4.,accept
694,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/HwT879-4Wjs Thanks for chatting with me!",
695,,
696,A3KF6O09H04SP7,
697,hello! how are you doing today?,Fine
698,i am doing well,Good
699,what is the latest movie that you watched?,Dead End
700,have you heard about the movie your highness it is a new movie from louis c. k.,No
701,a great movie! would you like to watch this movie trailer?,Sure
702,"great choice, you have selected the correct movie.",OK
703,i think you will enjoy this movie,Maybe. Hes had some issues
704,he definitely has,Is it a comedy?
705,it is a comedy,Ill probably watch it
706,let me know if you liked the movie,OK
707,have a great day,You too
708,thank you!,Welcome
709,you are welcom,Bye
710,bye bye,Complete chat
711,there is more,Whats next?
712,there is more,The HIT is complete?
713,it just passed,How do I submit for paymnt?
714,i do not know,"Above it says, ""You can click Complete Chat when you finish the chat."" There is no ""complet chat"" button anywhre"
715,I would like to recommend Like a Boss.,"I need a confirmation code, not a boss"
716,i recommend noam chomsky as a boss,Hed make a helluva boss! 
717,would you like to be one of his solicitors?,Depends. Whats involved?
718,Task Finished!,
719,,
720,A1XJU3KQ7B3JWZ,
721,"hello, i am here to help you look for a movie trailer.",hi 
722,do you know what types of movies are you interested in?,yeah
723,"so, what are some of your favorite movies?",dia
724,same here.,do yiu like
725,i like romantic comedies.,i too love that
726,it is such a guilty pleasure.,woow 
727,"yeah, right?",hmm yeah
728,what do you think about will smith?,he is worderfull actor
729,well i think he is a good actor,yeah his acting melt me
730,Have you seen Like a Boss?,yeah all time hero
731,that movie makes me feel things,ofcourse
732,"OK, how about Bad Boys for Life?",yeah that also awseme
733,"ok, what other movie you need to watch?",some godt movies
734,I would recommend Onward.,goog
735,is the movie all time hero.,yeah my favourite
736,onwards is also a good movie.,yeah buddy
737,i also recommend war horse,i would like that
738,onward,yes
739,what other type of movies you like?,some thrillers
740,are there any actors that you like,kevin
741,yes kevin hart is a very funny actor,yeaj
742,Task Finished!,
743,,
744,A2615YW1YERQBO,
745,hi there. do you enjoy movies?,oh yes
746,what kinds do you enjoy?,I like docu-comedies and Westerns
747,who is your favorite actor?,Dustin Hoffman
748,same here. he is very talented.,"I have liked well-written and well-acted epic movies such as ""Goodfellas"""
749,i like that movie too,Its sort of a movie that you really didnt want it to end.
750,who are your favorite actors and actresses?,"Well, DeNiro, Jodie Foster, Meryl Streep, "
751,what was the last movie that you watched that you really liked?,"I guess thats hard to say- one of the food documentaries, I guess. Theres been a lot of thos sort of movies lately. I think one was called ""Love Paleo"""
752,"i havent seen that one, but i do love a good documentary!","Right. I did watch the newer version of ""Pelham 1-2-3"" last night. It was fairly good."
753,i need to see that one. what did you like the most from that movie?,"It was nicely cast and pretty good plot, I suppose."
754,would you like to see the movie trailer?,what movie trailer?
755,"the movie trailer for ""pelham 1-2-3""",sure
756,the movie has been sent to you.,[accept]
757,"TASK COMPLETE, Thanks for chatting with me!",
758,,
759,AJXIC6Q5EM76P,
760,"hi, im here to help you",Hello
761,how are you doing?,I am doing great and you?
762,i am great too.,"Awesome, lets talk movies"
763,"sounds great, what do you like in movies?",I love the acting and screenplay/writing
764,have you seen brick?,No I havent sounds familair tho
765,"well, let me ask you a few questions about it. 1. do you like any kinds of science fiction?","Not really, nut dont"
766,any favorite actors?,Dwayne Johnson
767,have you seen johnny english 3?,no o havent
768,did you enjoy it?,I haven;t seen it
769,"i would recommend it, it is a good movie.",Tell me about it
770,"johnny english 3, it is a good movie",Whos in it?
771,"johnny english 3, chris pratt, dave bautista, and jamie lee curtis.",Sounds interesting
772,it is a good movie,Anymore recommendations
773,star wars,ive heard about it 
774,what do you think about it?,its kinda boring
775,what did you not like about it?,"too long, to much dialogue"
776,have you ever seen the original star wars trilogy?,Cant recall
777,i think it would be interesting to watch them again. do you think you would like the new ones?,"Not really, no"
778,have you ever seen hitchhikers guide to the galaxy?,No I havent
779,it is an older movie but if you like older movies you will enjoy this one too.,"Okay, Ill give it a try"
780,awesome! can i recommend that you watch the trailer first to decide if you like the movie?,"okay, sure"
781,Task Finished!,
782,,
783,A1I72NHC21347A,
784,"hello, i am here to help you looking for a movie trailer!",Thank you in advance
785,what types of movies are you interested in?,I have interested in Horror movies
786,antlers i recommend the movie!,Oh. Thank you very much buddy. 
787,you are welcome! what was the last horror movie that you watched?,lights out
788,underwater,Yes . Same movie only
789,got it,accept
790,"TASK COMPLETE, Thanks for chatting with me!",
791,,
792,A3QXFWX1PVH5MJ,
793,"hello, i am here to help you find a movie trailer.",Fantastic.  Lets find a good one.
794,what type of movies are you interested in?,Sci fi
795,i am a big fan of sci fi what is your favorite sci fi movie?,Star Wars
796,have you seen any of the star wars movies,I sure have.  Ive seen all of them.
797,I would like to recommend Bloodshot.,Im okay with that.  An earlier bot picked that too and it might be okay.
798,it is on hulu,"Even better.  Thanks, bot"
799,you are welcome.,quit
800,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
801,,
802,A2VO8C41JJIQY9,
803,hi! how are you?,fine
804,i am good! thank you!,ok
805,im here to help you finda movie trailer!,its nice
806,what are some of your favorite genres?,somewhat
807,what is your favorite movie right now?,nice movie
808,what is your favorite movie right now?,terminator
809,terminator: dark fate?,it is
810,got it,well
811,what did you think of the movie?,superb
812,"i liked it, im not really into horror type movies but it was well made",american movies horror
813,"underwater was nice, you should check it out",not check
814,I would recommend Like a Boss.,really
815,"yes, it is a good movie",i like
816,have you seen annabelle 2?,iam 4
817,I would recommend Bad Boys for Life.,not
818,bad boys for life is a good movie,nice meet
819,are you interested in the movie trailer?,bbye
820,do you like this type of movies?,i some work going just
821,then do you like action movies with lots of plot twists?,not
822,that is understandable do you like movies with similar plot lines,i understand
823,Have you seen Onward?,sometimes
824,Task Finished!,
825,,
826,A2OPYRV3GLAPS1,
827,hello,Hi there!
828,what is your favorite type of movie?,"I have really eclectic tastes, but I like movies that are artistic and visually exciting."
829,have you seen interstellar?,"I havent! It has Matthew McConngaugh, right?"
830,"yes, it does. you should check it out!","Okay, cool. I will!"
831,"fantastic, im so happy!",[accept]
832,"TASK COMPLETE, Thanks for chatting with me!",
833,,
834,A1BZX5G4Q9AYTQ,
835,hello! how are you doing today?,great thank you
836,great! how are you today?,nice
837,good! watching a movie?,yes
838,what type of movies do you prefer?,horror and sci fi
839,you like horror movies?,"yes, how about you"
840,that was awesome. how did you like antlers,great thank you
841,i like them as well.,quit
842,"TASK COMPLETE, Thanks for chatting with me!",
843,,
844,A1YZ0ETOCJO1B2,
845,hello there! i understand youre looking for a movie to watch!,Yes
846,what kind of movies do you enjoy?,action
847,what are some of the latest action movies that you have watched?,I have not seen any in a long time
848,thats awesome! a lot of action movies these days are all about the fights but there are a lot of amazing action movies that dont feel the need for huge action scenes. ,okay what one would you suggest?
849,I am recommending Avengers: Endgame.,I do not like avengers sorry
850,"oh, okay.",I havent watched any of them 
851,"okay, endgame is a pretty good movie",how about a different one?
852,I am recommending Like a Boss.,who is in it?
853,"chris hemsworth, mark ruffalo",oh I love Chris!
854,"me too, i would love to see him in an iron man movie.",what is it about?
855,would you like to watch this movie trailer?,yes
856,that is great.,what is it about?
857,iron man 3 movie,What is Like a boss about?
858,"boss related movies i can recommend: iron giant, iron monger, the way way back.",what is Like A Boss about?
859,iron giant,what is Iron Giant about?
860,iron giant is a mix of a team up movie with iron man ,accept
861,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
862,,
863,A16ODTIYV32C4Y,
864,"hi, how are you today?",Iam fine. you?
865,"i am great, thanks.",ok
866,"i am very good, thank you.",Iam also good
867,what kind of movies do you like?,action and horror
868,what was the last action movie you watched?,avengers
869,was that a good movie?,yes good movie.
870,well it has an excellent rating and good reviews,yeah correct. and boxffice is highly
871,and this is an exciting sequel to avengers: infinity war,yes. good
872,what other types of movies do you like?,horror movie. conjuring
873,those are really good movies,yes good
874,have you seen annabelle 2?,no.is good movie?
875,yes! its very scary,ohh. thankyou friend
876,your welcom,ok
877,did you enjoy it?,yes. enjoy
878,thanks for suggestion!,thank you
879,my pleasure.,nice
880,what a nice chat,same to you
881,thank you very much,you are welcome
882,have a good day,same too you and thankyou
883,me to,ok
884,"so, you like movies?",yes very much
885,Task Finished!,
886,,
887,A3AUCQUUA07HCV,
888,hi! what types of movies do you like?,hi
889,i like fantasy,do you have any recommendations?
890,i do have one for you,?
891,Have you seen Like a Boss?,I have already seen it
892,oh how was it?,"It was ok, do you have anything else?"
893,Have you seen Bad Boys for Life?,Looks good!
894,yea its really good.,accept
895,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
896,,
897,A2Y87M8V0N1M6P,
898,"hello, i would love to help you today!", recommend a movie
899,what kind of movies are you into?,comedy
900,like a boss,accept
901,"TASK COMPLETE, Thanks for chatting with me!",
902,,
903,A2DN9LTO4MC9OQ,
904,"hi, how are you doing today?",ok
905,i am great,ok
906,what can i help you with?,ok
907,"ok, anything i can help you with?",ok
908,what can i help you with today?,ok
909,do you want to watch a movie trailer?,ok
910,"ok i would recommend ""the irishman""",ok
911,ok i have selected the movie for you,ok
912,ok i selected the irishman,ok
913,would you like to view this movie trailer?,okk
914,i selected for you,ok
915,ok how was your day,ok
916,ok day,ok
917,ok day,ok
918,ok day,ok
919,what do you want to talk about,ok
920,im not sure,ok
921,i am not sure how to respond,ok
922,ok bye,ok
923,ok day,ok
924,i hope you enjoy the movie,ok
925,Task Finished!,
926,,
927,A1BZX5G4Q9AYTQ,
928,hi there! im here to help you looking for a movie trailer!,hi
929,im here to help you with that. what kind of movies are you into?,horror
930,"ah, me too! i love action movies with lots of drama and action.",yes lot
931,how do you like to watch horror movies? at home or at the movies?,accept
932,"TASK COMPLETE, Thanks for chatting with me!",
933,,
934,AK66O9WD3XN29,
935,hi! how are you doing today?,Hi I like action movies tell me some names.
936,john wick!,[accept]
937,"TASK COMPLETE, Thanks for chatting with me!",
938,,
939,A394JO4NEPCY3M,
940,hello!,Hi there can you tell me some good horror movies?
941,sure! whats your favorite horror movie?,Can you recommend any?
942,like tokyo ghost or the exorcist?,how about exorcist where can I see a trailer?
943,antlers,[accept]
944,"TASK COMPLETE, Thanks for chatting with me!",
945,,
946,A39XIQCFSCNHFU,
947,hello.,hey
948,how are you today,ok
949,im great. i was just wondering if you were interested in movie recommendations,sure
950,how was your weekend?,have any good horror movie recommendations
951,antlers,is that a horror movie?
952,yeah thats a horror movie,accept
953,"TASK COMPLETE, Thanks for chatting with me!",
954,,
955,ADGREXTAORHCE,
956,hello i am here to help you,do you have a movie to recommend?
957,I am recommending Like a Boss.,[accpet]
958,i think you would like this movie,[accept]
959,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
960,,
961,A2V27A9GZA1NR2,
962,hello there,Hi
963,"hi, how are you today?",Good and yourself?
964,"good, thank you!",Thats good
965,thanks! what kinds of movies do you like?,Sci fi
966,me too! what was the last movie you saw?,the martian
967,same! bloodshot what about you?,the martian
968,have you seen dredd?,yes
969,how did you like it?,I hated it
970,"me too, it was too scary",coward!
971,how do you like the app?,quit
972,"TASK COMPLETE, Thanks for chatting with me!",
973,,
974,A2OPYRV3GLAPS1,
975,"hello, i am here to help you look for a movie trailer","Okay, great! What do you think I should watch?"
976,what type of movies are you interested in?,Im in the mood for something that will tickle my funny bone.
977,"okay, no problem, what other types of movies do you like?","All kinds really, but I guess I really like artistic, indie movies."
978,"okay, awesome. i like indie movies too.",Whats your favorite indie movie?
979,probably crawl space. that movie gives me the creeps. what is your favorite indie movie?,"id have to think about it for awhile, tbh. Ive never heard of Crawl Space. It sounds scary! Whats it about?"
980,"its about a woman who experiences a crawl space that opens up around her. while its connected to her house, it feels much bigger and eerie. its a really scary movie!",That sounds freaky! Id like to check out the trailer for that.
981,the trailer is great!,[acce[t]
982,i really think you will like it!,[accept]
983,"TASK COMPLETE, Thanks for chatting with me!",
984,,
985,A231KDND93GAVX,
986,"hello, i am here to help you look for a movie trailer", recommend a movie
987,what types of movies are you into?,Fantasy
988,what type of fantasy movies do you like?,Marvel
989,marvel movies are awesome. which of their films have you seen?, recommend a movie
990,"the dark knight rises, is a fantasy movie about bruce wayne. i really like the joker in this movie. i think you will like this movie if you like marvel movies.",sorry it is not marvel movie. Shut up!
991,love you too,accept
992,"TASK COMPLETE, Thanks for chatting with me!",
993,,
994,ACV75G0ZN7U70,
995,"hello, i am here to help you find a movie trailer",Can you recommend a movie with George Clooney?
996,Have you seen Like a Boss?,"No, is he in that movie?"
997,yeah he is the director.,"No, I want a movie where he acts."
998,Have you seen Bad Boys for Life?,No. Hes not in that movie.
999,"bad boys for life has george clooney and dwayne johnson in it, also a good movie",accept
1000,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
1001,,
1002,AVXEDARJC5HLU,
1003,"hi, how are you?",Good. How are you?
1004,"good, thanks. what kind of movies do you like?",comedies
1005,thats awesome. what was the latest movie you watched?,Avengers Endgame
1006,that is a fun movie. do you like comedy that is a bit older?,Not really.  I prefer newer stuff
1007,have you watched any of the newer tom holland movies?,No
1008,onward is a new one. but looks promising. have you seen onward,No
1009,i have not,Okay
1010,the kings man what about,What?
1011,the kings man,what about it?
1012,no its really nice movie.,Okay
1013,do you like to watch movies in the theaters?,No not at all
1014,how about theaters that serve alcohol?,Sounds better
1015,"i would recommend seeing the movie, how about you?",quit
1016,"TASK COMPLETE, Thanks for chatting with me!",
1017,,
1018,A25CZJEFKXF4UV,
1019,hello! i hope you are having a great day! what kind of movies do you enjoy?,comedy
1020,how do you like fantasy movies?,yes
1021,like a boss,yeah
1022,what was the latest movie you watched?,game nights what about you
1023,onward was pretty,I recommend you game nights
1024,Have you seen Like a Boss?,no
1025,then game night is perfect movie to watch with your friends,yes
1026,so you will enjoy it,yes
1027,how did you enjoy the movie,very well
1028,"OK, how about Bad Boys for Life?",I dont know
1029,"ok, how about bad boys for life",i dont know
1030,I would recommend Onward.,ok
1031,oh and are you a fan of superheros?,yes
1032,I would recommend The Kings Man.,quit
1033,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/5aq0o2C6LVE Thanks for chatting with me!",
1034,,
1035,A2Y87M8V0N1M6P,
1036,hello how are you today?,good
1037,good,ok
1038,what kind of movies do you like?,action
1039,what kind of movies do you like?,action
1040,what was the latest action movie youve watched?,avengers
1041,what did you like about avengers: infinity war: infinity war the best?,yes
1042,what was the latest action movie youve watched?,avengers
1043,do you like movies with a lot of special effects?,yes
1044,I am recommending Avengers: Endgame.,ok
1045,have you ever seen the joker?,no
1046,I am recommending Max Steel.,ok
1047,do you like movies that are realistically animated and have lots of special effects?,yes
1048,I am recommending Like a Boss.,ok
1049,ok. max steel is that movie you will like,ok
1050,I would recommend Bad Boys for Life.,ok
1051,do you like max steel is that movie you will like,yes
1052,I would recommend Onward.,ok
1053,do you like onward,ok
1054,who is onward,i dont know
1055,have you seen the new mission impossible movie i recommend it,yes
1056,who is the actress in the new mission impossible movie,ok
1057,Task Finished!,
1058,,
1059,A3FGT6EU39C6S4,
1060,"hello, i am here to help you look for a movie trailer",accept
1061,"TASK COMPLETE, Thanks for chatting with me!",
1062,,
1063,A1L92Y6VBTRFP5,
1064,"hi, i am here to help you look for a movie trailer.",ok 
1065,what are your favorite types of movies?,comedy
1066,"ok, what was the last comedy you watched?",step brothers
1067,bad boys for life have you seen that movie?,accept
1068,"TASK COMPLETE, Thanks for chatting with me!",
1069,,
1070,A16OH8XXYY0AAS,
1071,hi i am here to help you,hi
1072,so what type of movies do you like,i like cartoon movies
1073,oh i like them too,nice
1074,i like pixar movies,great me too love it
1075,it great that we like the same movies,yes
1076,I am recommending Like a Boss.,yeah 
1077,if you like this movie you will probably like avengers endgame,yes sure
1078,I would like to recommend Bad Boys for Life.,nice i like both bad and good boys
1079,that is great. how about home alone 2?,its also very nioce
1080,how about split,its wonderful and lovable story
1081,yes sure,quit
1082,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
1083,,
1084,A34CPKFZXBX1PO,
1085,hello,Hi
1086,what can i help you with,I would like to see a scifi movie
1087,what was the last sci-fi movie that you saw?,contact
1088,what was the last sci-fi movie you watched?,contact
1089,how would you describe your favorite drama movie,I dont like drama movies
1090,how about the turning,what is the turning about?
1091,how about when you see it,please recommend a scifi movie to me.
1092,I would like to recommend Bloodshot.,what is it about?
1093,its about the vicious cycle of death in space. its pretty interesting,accept
1094,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
1095,,
1096,A3FGT6EU39C6S4,
1097,hello!,hello
1098,what type of movies do you like,drama and romcom
1099,do you like newer or older movies,newer
1100,sam heughan a good actor,not familiar with him. what has he been in?
1101,have you seen underwater,no. what is that about?
1102,its about a woman who falls in love with a dolphin,too far fetched for me. 
1103,okay. you should see mulan,not into disney movies
1104,thats okay. i think you should try it though.,how about a good drama?
1105,I would like to recommend Bloodshot.,what is that about?
1106,it is a little bit of a drama and a little bit of a comedy,who stars in that?
1107,Have you seen The Turning?,"no, what is that one about?"
1108,"it is about a guy who has powers he gains in a fantasy world, you might have seen the trailers for the movie before.",i dont generally like fantasy.
1109,"oh, so how do you feel about magic?",not good
1110,Have you seen Like a Boss?,no
1111,have you seen the movie big?,no what is that about?
1112,it is about a person who is a magician,who stars in that?
1113,steve carell,I might like to give hat a try - thanks.
1114,so would you like to watch this movie trailer,yes
1115,ok let me see if i can find that,thanks
1116,youre welcome,quit
1117,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1118,,
1119,A3QSFE6GKO157S,
1120,"hi, im here to help you.",no thanks
1121,what kind of movies do you like?,all
1122,do you like comedies?,[accept]
1123,"TASK COMPLETE, Thanks for chatting with me!",
1124,,
1125,AZ8JL3QNIPY4U,
1126,hi there!,Hello
1127,how are you?,I am okay
1128,what kind of movies do you like?,I like Comedy and Horror movies.
1129,jeremy t. thomas and a similar genre,Is that a movie?
1130,no it is a person,I am not familiar with that name
1131,the movie is called come back little girl,is it good?
1132,its horror and comedy,thats cool. I think i would like it.
1133,it is definitely a great movie.,I guess it is.
1134,what did you enjoy from the movie?,I didnt really say Ive seen it.
1135,got it.,complete
1136,i think i can recommend something,sure. i would like that
1137,I would recommend Like a Boss.,accept
1138,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1139,,
1140,A3C8JI69WPTKWH,
1141,"hello, i am here to help you look for a movie trailer",Hi!
1142,what kind of movies do you enjoy?,sad movies
1143,what is the latest movie youve watched?,titanic and harry potter
1144,how do you feel about adam sandler movies?,oh. Im not a fan
1145,what about happy gilmore?,is that about golf?
1146,"no, it is an older movie",yes Ive heard of it. I havent seen it.
1147,i think you might enjoy it.,Whys that?
1148,it has sandler and gilmore in it.,Is it a sad movie?
1149,yes it is,What is it about?
1150,an ad man finds out that his life has changed and his partner has left him.,oh that is sad
1151,i love how he finds out with his friends and family.,ok. thanks for the recommendation
1152,you are welcome,[quit]
1153,"TASK COMPLETE, Thanks for chatting with me!",
1154,,
1155,A17GHP8L89ZSD5,
1156,hello!,hi
1157,what can i help you with?,movies
1158,what kind of movies are you interested in?,action
1159,so an action movie?,yes
1160,perfect. have you seen any recent action movies?,quit
1161,"TASK COMPLETE, Thanks for chatting with me!",
1162,,
1163,A2LV5432PV1S39,
1164,"hello, i am here to help you looking for a movie trailer",That sounds great!
1165,do you know what type of movie trailer you would like to see?,I really enjoy action movies.
1166,"ok, well i will see what i can find for you. have you seen any other avengers movies?","No, I havent seen any of them."
1167,I recommend the movie Avengers: Endgame.,Ive heard good things about that one.
1168,do you know if you would like to watch this movie trailer?,I think I would.
1169,"ok, i will see what i can do for you.",Thank you!
1170,you are welcome,accept
1171,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/ee1172yeqyE Thanks for chatting with me!",
1172,,
1173,A33DJF06UZXG3Y,
1174,hi! how are you doing today?,"pretty good, how about you?"
1175,doing great! i saw the movie inside out last week. im looking for a new movie. what are some of your favorite movies?,"inside out? oh, thats good for an animated movie. if you  like 2d animation I recommend Millennium Actress"
1176,"yeah, i heard it was really good.","yeah, its very good"
1177,how would you compare it to other animated movies?,"it is very artistic, has some excellent animation and use of transitions"
1178,trolls world tour,what?
1179,"its a movie trailer, sorry",what about it?
1180,its from 2013,and?
1181,I would recommend Onward.,shut up.
1182,"why so hostile, mr.gentleman?","sorry, youre just so random."
1183,"no, just curious about your movie prefrences","ok, whatever."
1184,I recommend the movie Like a Boss.,why is that?
1185,like a boss,lmao
1186,i recommend mr.gentleman,[accept]
1187,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1188,,
1189,A8C3WNWRBWUXO,
1190,"hi there, happy thanksgiving!",thanks
1191,youre welcome!,looking for good comedies or action movies out right now that are high rated
1192,"ok, i know a few. what kind of comedy josh brener?",who is josh brener
1193,"josh brener is an actor, one of my favorites is josh bridges hes in avengers: endgame",any other comedies or mysteries out that are good
1194,I am recommending Underwater.,who is in it
1195,its definitely one of the marvel crew. they dont disappoint.,"okay thanks, i"
1196,im glad i could help,quit
1197,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/Rszr56AH3Co Thanks for chatting with me!",
1198,,
1199,A1ROEDVMTO9Y3X,
1200,"hello, im here to help you looking for a movie trailer.",ok what is good
1201,i am looking for a movie trailer myself. i know you can watch movies for free on the internet but i like watching them on the big screen.,ok
1202,what genre are you into?,comedy
1203,would you like me to find a comedy for you?,ok
1204,I would recommend Like a Boss.,accept
1205,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1206,,
1207,A3NN2AK1DFDNDU,
1208,"hi there, im ana!",Hi ana! Any movie recommendations for me?
1209,Have you seen Like a Boss?,No. What genre is that?
1210,it is a drama/action movie. you have to watch it.,Accept
1211,do you like the movie?,Dont know. Havent seen it yet.
1212,it is a good movie,ok. I will watch it
1213,thanks,Accept
1214,thank you,cool!
1215,have you seen the new captain marvel movie?,Yes
1216,yes me too,Accept
1217,ok. thank you.,Accept
1218,thank you,quit
1219,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1220,,
1221,ASVRLMDNQBUD9,
1222,"hello, i am here to help you finda movie trailer",Can you find anything in the Fantasy genre?
1223,"okay sure, the bible is a good place to start. you may have heard of it.",Have I heard of the bible? Like the book?
1224,"no, i dont think so","hmmm, tell me about it."
1225,"its a classic, one of the most famous",Could you explain a little bit more please?
1226,"sure thing, the story of jungle cruise",what kind of movie is that?
1227,"a classic, the story of jungle cruise,",ok thanks
1228,you welcome,quit
1229,"TASK COMPLETE, Thanks for chatting with me!",
1230,,
1231,A2QZU6VOIL30J3,
1232,hello!,hi
1233,what was the latest movie youve watched in theaters,i watch lord of the rings
1234,so you like fantasy?,yes
1235,i like fantasy too,can you recommend anygood ones
1236,I would like to recommend Like a Boss.,[accept]
1237,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
1238,,
1239,A10249252O9I20MRSOBVF,
1240,"hi, how are you?",Good and you?
1241,im doing well. what kind of movies do you like?,comedy 
1242,what was the last comedy that you watched?,Like a boss 
1243,did you like the movie?,yes
1244,what was your favorite part about the movie?,The part when they spoil the womans plan.
1245,awesome. bad boys for life is a great movie. have you watched it,accept
1246,"TASK COMPLETE, Thanks for chatting with me!",
1247,,
1248,A2XM0NXWJSURRX,
1249,"hi, im here to help you find a movie trailer",yes
1250,what kinds of movies do you like?,mm
1251,what did you like from mm?,mm
1252,do you like kim jong-un?,mm
1253,do you like irobot?,yes
1254,i do. i like the irobot movies.,ah
1255,what do you like about irobot?,mm
1256,the action packed story and nice acting,yrah
1257,are you looking for a movie to watch?,yeah
1258,what was the latest movie that youve watched?,mm
1259,do you prefer martial arts movies?,yeah
1260,do you prefer movies about death?,yes
1261,have you watched maria imiscargos movie and then hunters thirst?,mm
1262,I would recommend Like a Boss.,mm
1263,do you like movies about death?,yes
1264,I recommend the movie Bad Boys for Life.,h
1265,yes yes yes yes,yes
1266,bad boys for life is an awesome movie,mm
1267,I would like to recommend Onward.,mm
1268,what do you like about onward?,mm
1269,i like the main actors,eah
1270,Task Finished!,
1271,,
1272,A3QXFWX1PVH5MJ,
1273,"hi there, im looking for a movie to watch. can you help me find one?",What do you like?
1274,do you have a preference?,Comedy
1275,have you ever seen the national lampoons vacation?,nope 
1276,do you know of any movies like that one?,no I do not
1277,i can recommend some,Okay like what?
1278,sisters,accept
1279,"TASK COMPLETE, Thanks for chatting with me!",
1280,,
1281,AMELYCC59JKB0,
1282,"hello, i am here to help you look for a movie trailer!",ok
1283,what type of movies are you into?,action
1284,i like action too! have you seen the new bad boys yet?,yes
1285,are you into space movies too?,yes
1286,"oh, what was the latest movie youve seen in theaters?",avengers
1287,"ah yes, that movie was pretty good!",yes
1288,you should watch space mountain.,yes
1289,i love that movie! do you know if theyre making a new one?,yeah
1290,do you like superhero movies in general?,yes
1291,have you seen the new avengers movie?,yes
1292,did you like it?,yesi like hulk very much.
1293,I recommend the movie Like a Boss.,ohh fine
1294,do you like action?,yes
1295,I am recommending Bad Boys for Life.,ok fine
1296,do you like new avengers movie?,yes
1297,marvel movies are awesome,yes
1298,I would like to recommend Onward.,yeah
1299,i would like to recommend avengers endgame.,it is great
1300,would you like to see the trailer,no
1301,okay have a good day,thank you
1302,thank you.,fine
1303,Task Finished!,
1304,,
1305,A2615YW1YERQBO,
1306,hello,hi there
1307,i am here to help you looking for a movie trailer,excellent. what type of movies do you like?
1308,a little bit of everything,"i would like something entertaining, not sad. but not a comedy."
1309,Would you prefer to watch Like a Boss?,no. that movie is depressing.
1310,do you enjoy actor james franco?,"not really, no."
1311,what was the last movie you enjoyed?,Dolittle
1312,the trailer looks funny. do you enjoy romantic comedies?,sometimes but not today
1313,have you seen 50 first dates?,no
1314,what was the last movie you enjoyed?,dolittle
1315,i have not seen those but they look good. have you seen any of the prequels to star wars?,i have seen them all
1316,have you seen the harrison ford and the girl in the spider web movies?,i dont know what movies those are
1317,"OK, how about Bad Boys for Life?",Thats the new one?
1318,"ok, have you seen the purge?",[quit]
1319,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
1320,,
1321,A2UO3QJZNC2VOE,
1322,"hi, happy holidays!",hello
1323,"OK, how about Like a Boss?","no, sounds boring"
1324,"ok, well i hope you have a happy holiday!",Can you reccomend another one
1325,"OK, how about Bad Boys for Life?",accept
